dk@dk:/media/sf_Dinesh-kumar/LINUX/MODULE_01$ ps -e
    PID TTY          TIME CMD
    687 ?        00:00:06 dbus-daemon
    688 ?        00:00:03 NetworkManager
    690 ?        00:00:01 kworker/6:2H-kblockd
    696 ?        00:00:00 irqbalance
    697 ?        00:00:01 networkd-dispat
    699 ?        00:00:05 polkitd
    701 ?        00:00:00 power-profiles-
    702 ?        00:00:01 rsyslogd
    705 ?        00:00:12 snapd
    707 ?        00:00:00 switcheroo-cont
    711 ?        00:00:00 systemd-logind
    713 ?        00:00:01 udisksd
    726 ?        00:00:00 wpa_supplicant
    736 ?        00:00:00 avahi-daemon
    773 ?        00:00:00 kworker/2:2H-kblockd
    782 ?        00:00:01 ModemManager
    785 ?        00:00:00 kworker/u15:4-writeback
    787 ?        00:00:00 kworker/0:2H-kblockd
    794 ?        00:00:00 cupsd
    799 ?        00:00:00 unattended-upgr
    826 ?        00:00:00 kworker/1:4-events
    838 ?        00:00:00 kworker/1:2H-kblockd
    841 ?        00:00:00 dbus
    843 ?        00:00:00 dbus
    844 ?        00:00:00 dbus
    847 ?        00:00:00 kworker/4:3H-kblockd
    865 ?        00:00:00 kworker/u14:2
    876 ?        00:00:00 cups-browsed
    890 ?        00:00:00 kerneloops
    909 ?        00:00:00 kerneloops
    921 ?        00:00:00 kworker/4:3-events
   1178 ?        00:00:01 VBoxDRMClient
   1181 ?        00:00:00 VBoxService
   1198 ?        00:00:00 gdm3
   1278 ?        00:00:00 rtkit-daemon
   1413 ?        00:00:00 upowerd
   1420 ?        00:00:29 packagekitd
   1581 ?        00:00:00 colord
   1595 ?        00:00:00 kworker/u28:1
   1597 ?        00:00:00 kworker/u24:1
   1648 ?        00:00:00 gdm-session-wor
   1656 ?        00:00:01 systemd
   1657 ?        00:00:00 (sd-pam)
   1663 ?        00:00:00 pipewire
   1664 ?        00:00:00 pipewire-media-
   1665 ?        00:00:01 pulseaudio
   1666 ?        00:00:01 snapd-desktop-i
   1678 ?        00:00:00 gnome-keyring-d
   1695 tty2     00:00:00 gdm-wayland-ses
   1698 ?        00:00:03 dbus-daemon
   1702 ?        00:00:00 xdg-document-po
   1703 tty2     00:00:00 gnome-session-b
   1711 ?        00:00:00 xdg-permission-
   1725 ?        00:00:00 fusermount3
   1769 ?        00:00:00 gnome-session-c
   1781 ?        00:00:00 gvfsd
   1787 ?        00:00:00 gvfsd-fuse
   1789 ?        00:00:01 gnome-session-b
   1815 ?        00:00:00 at-spi-bus-laun
   1818 ?        00:02:14 gnome-shell
   1827 ?        00:00:00 dbus-daemon
   1886 ?        00:00:00 gnome-shell-cal
   1888 ?        00:00:01 snapd-desktop-i
   1894 ?        00:00:00 evolution-sourc
   1899 ?        00:00:00 gvfs-udisks2-vo
   1904 ?        00:00:00 goa-daemon
   1912 ?        00:00:00 evolution-calen
   1913 ?        00:00:00 gvfs-goa-volume
   1920 ?        00:00:00 kworker/3:2H
   1925 ?        00:00:00 goa-identity-se
   1933 ?        00:00:00 gvfs-gphoto2-vo
   1954 ?        00:00:00 dconf-service
   1955 ?        00:00:00 evolution-addre
   1959 ?        00:00:00 gvfs-mtp-volume
   1972 ?        00:00:00 gvfs-afc-volume
   1989 ?        00:00:00 gvfsd-trash
   2002 ?        00:00:00 gjs
   2003 ?        00:00:00 at-spi2-registr
   2018 ?        00:00:00 sh
   2020 ?        00:00:00 gsd-a11y-settin
   2021 ?        00:00:00 gsd-color
   2023 ?        00:00:00 gsd-datetime
   2024 ?        00:00:00 ibus-daemon
   2027 ?        00:00:00 gsd-housekeepin
   2031 ?        00:00:00 gsd-keyboard
   2033 ?        00:00:00 gsd-media-keys
   2038 ?        00:00:00 gsd-power
   2046 ?        00:00:00 gsd-print-notif
   2047 ?        00:00:00 gsd-rfkill
   2049 ?        00:00:00 gsd-screensaver
   2051 ?        00:00:00 gsd-sharing
   2055 ?        00:00:00 gsd-smartcard
   2061 ?        00:00:00 gsd-disk-utilit
   2079 ?        00:00:00 ibus-memconf
   2081 ?        00:00:00 gsd-sound
   2082 ?        00:00:02 ibus-extension-
   2085 ?        00:00:00 gsd-wacom
   2094 ?        00:00:00 ibus-portal
   2101 ?        00:00:01 evolution-alarm
   2192 ?        00:00:00 gsd-printer
   2193 ?        00:00:06 snap-store
   2209 ?        00:00:11 Xwayland
   2231 ?        00:00:00 ibus-engine-sim
   2239 ?        00:00:00 gvfsd-metadata
   2263 ?        00:00:00 gjs
   2304 ?        00:00:01 xdg-desktop-por
   2306 ?        00:00:01 tracker-miner-f
   2330 ?        00:00:00 xdg-desktop-por
   2380 ?        00:00:00 gsd-xsettings
   2381 ?        00:00:02 gjs
   2410 ?        00:00:00 xdg-desktop-por
   2426 ?        00:00:00 ibus-x11
   2434 ?        00:00:00 VBoxClient
   2435 ?        00:00:00 VBoxClient
   2463 ?        00:00:00 VBoxClient
   2464 ?        00:00:00 VBoxClient
   2525 ?        00:00:00 fwupd
   2851 ?        00:00:30 code
   2869 ?        00:00:00 code
   2870 ?        00:00:00 code
   3005 ?        00:00:00 chrome_crashpad
   3073 ?        00:00:00 code
   3103 ?        00:01:51 code
   3136 ?        00:00:26 code
   3167 ?        00:00:08 code
   3168 ?        00:00:03 code
   3171 ?        00:00:08 code
   3260 ?        00:00:04 code
   3344 pts/0    00:00:00 bash
   3511 ?        00:00:00 update-notifier
   3702 ?        00:00:00 kworker/4:0-cgroup_destroy
   3710 ?        00:00:00 kworker/u15:1-events_unbound
   3718 ?        00:00:00 kworker/1:1-events
   3737 ?        00:00:00 kworker/u21:0-events_unbound
   3772 pts/0    00:00:00 ps
